2026-09-01 20:47:52,620 [WARNING] Missing file pair for lead f0720h. Skipping.
VAR   | LEAD   | RMSE     | BIAS     | ACC     | FCST MIN/MAX           | TRUTH MIN/MAX
T     | f042h  | 5.5239     | 0.3035     | 0.9186
T     | f048h  | 5.6992     | 0.2061     | 0.9121
T     | f054h  | 6.1946     | -0.0272    | 0.8998
T     | f060h  | 6.1333     | -0.0057    | 0.9032
T     | f066h  | 6.0075     | 0.1658     | 0.9059
T     | f072h  | 6.0226     | -0.0344    | 0.9051
T     | f078h  | 6.3344     | -0.3293    | 0.8993
T     | f084h  | 6.3075     | -0.2514    | 0.9020
T     | f090h  | 6.1237     | -0.0552    | 0.9070
T     | f096h  | 6.0158     | -0.2333    | 0.9102
T     | f102h  | 6.2726     | -0.5261    | 0.9061
T     | f108h  | 6.2441     | -0.4986    | 0.9087
T     | f114h  | 6.1071     | -0.3006    | 0.9119
T     | f120h  | 6.1337     | -0.4451    | 0.9115
--------------------------------------------------
P     | f006h  | 2.2157     | -0.3844    | 0.9794
P     | f012h  | 3.2477     | -0.7645    | 0.9578
P     | f018h  | 4.2691     | -1.0844    | 0.9244
P     | f024h  | 4.8631     | -1.3711    | 0.9082
P     | f030h  | 5.5537     | -1.7891    | 0.8796
P     | f036h  | 5.9362     | -2.2506    | 0.8719
P     | f042h  | 6.2902     | -2.5786    | 0.8548
P     | f048h  | 6.3136     | -2.8145    | 0.8663
P     | f054h  | 6.6793     | -3.1618    | 0.8487
P     | f060h  | 7.0228     | -3.5311    | 0.8428
P     | f066h  | 7.3624     | -3.7691    | 0.8206
P     | f072h  | 7.4069     | -3.9264    | 0.8297
P     | f078h  | 7.7664     | -4.1915    | 0.8062
P     | f084h  | 8.0919     | -4.5119    | 0.7995
P     | f090h  | 8.4005     | -4.7045    | 0.7735
P     | f096h  | 8.3731     | -4.7953    | 0.7850
P     | f102h  | 8.6634     | -4.9986    | 0.7611
P     | f108h  | 8.9123     | -5.2440    | 0.7556
P     | f114h  | 9.1054     | -5.3743    | 0.7334
P     | f120h  | 8.9663     | -5.4056    | 0.7539
--------------------------------------------------
U     | f006h  | 3.7791     | -0.2711    | 0.9008
U     | f012h  | 5.0040     | -0.5111    | 0.8223
U     | f018h  | 5.6324     | -0.7343    | 0.7679
U     | f024h  | 6.1266     | -0.9252    | 0.7197
U     | f030h  | 6.6330     | -1.2631    | 0.6783
U     | f036h  | 6.9219     | -1.5606    | 0.6569
U     | f042h  | 7.0103     | -1.8236    | 0.6489
U     | f048h  | 7.1441     | -2.1499    | 0.6384
U     | f054h  | 7.3658     | -2.4689    | 0.6106
U     | f060h  | 7.5329     | -2.8110    | 0.5981
U     | f066h  | 7.5550     | -3.0325    | 0.6010
U     | f072h  | 7.7220     | -3.2502    | 0.5920
U     | f078h  | 7.9001     | -3.5451    | 0.5640
U     | f084h  | 8.0551     | -3.7459    | 0.5584
U     | f090h  | 8.1427     | -3.9140    | 0.5539
U     | f096h  | 8.1507     | -4.0190    | 0.5519
U     | f102h  | 8.3026     | -4.2482    | 0.5293
U     | f108h  | 8.4653     | -4.3400    | 0.5152
U     | f114h  | 8.5971     | -4.4078    | 0.5012
U     | f120h  | 8.6962     | -4.5195    | 0.5022
--------------------------------------------------
V     | f006h  | 4.1191     | -0.0183    | 0.7904
V     | f012h  | 5.3434     | -0.2404    | 0.6199
V     | f018h  | 6.0580     | -0.4186    | 0.5054
V     | f024h  | 6.3583     | -0.6316    | 0.4200
V     | f030h  | 6.6627     | -0.7751    | 0.3264
V     | f036h  | 6.8512     | -1.0137    | 0.2708
V     | f042h  | 7.0324     | -1.1809    | 0.2554
V     | f048h  | 6.9878     | -1.2706    | 0.2437
V     | f054h  | 7.0028     | -1.3014    | 0.1952
V     | f060h  | 6.9365     | -1.4553    | 0.1715
V     | f066h  | 6.9054     | -1.4961    | 0.1856
V     | f072h  | 6.6433     | -1.5156    | 0.1942
V     | f078h  | 6.4980     | -1.5762    | 0.1730
V     | f084h  | 6.4424     | -1.6255    | 0.1724
V     | f090h  | 6.3897     | -1.6367    | 0.1912
V     | f096h  | 6.3060     | -1.6689    | 0.2024
V     | f102h  | 6.2966     | -1.6707    | 0.1795
V     | f108h  | 6.2973     | -1.7731    | 0.1857
V     | f114h  | 6.4402     | -1.8504    | 0.2003
V     | f120h  | 6.4293     | -1.8652    | 0.1997
--------------------------------------------------
W     | f006h  | 0.3257     | 0.0028     | 0.3657
W     | f012h  | 0.3470     | 0.0016     | 0.3525
W     | f018h  | 0.3367     | -0.0072    | 0.2918
W     | f024h  | 0.3262     | 0.0021     | 0.1772
W     | f030h  | 0.3509     | -0.0049    | 0.2020
W     | f036h  | 0.3697     | -0.0074    | 0.2096
W     | f042h  | 0.3504     | -0.0109    | 0.1855
W     | f048h  | 0.3383     | -0.0009    | 0.1182
W     | f054h  | 0.3498     | -0.0033    | 0.1347
W     | f060h  | 0.3706     | -0.0068    | 0.1533
W     | f066h  | 0.3564     | -0.0077    | 0.1357
W     | f072h  | 0.3427     | 0.0005     | 0.0892
W     | f078h  | 0.3564     | -0.0069    | 0.1057
W     | f084h  | 0.3788     | -0.0088    | 0.1252
W     | f090h  | 0.3580     | -0.0143    | 0.1198
W     | f096h  | 0.3516     | -0.0036    | 0.1018
W     | f102h  | 0.3765     | -0.0092    | 0.1032
W     | f108h  | 0.3848     | -0.0091    | 0.1199
W     | f114h  | 0.3701     | -0.0125    | 0.1274
W     | f120h  | 0.3589     | -0.0026    | 0.1018
--------------------------------------------------
Q     | f006h  | 2.1701     | -0.0382    | 0.9303
Q     | f012h  | 2.5583     | -0.0147    | 0.9031
Q     | f018h  | 2.6793     | -0.0367    | 0.8935
Q     | f024h  | 2.8143     | -0.0205    | 0.8821
Q     | f030h  | 2.9786     | 0.0650     | 0.8653
Q     | f036h  | 3.1397     | 0.1479     | 0.8512
Q     | f042h  | 3.1812     | 0.2070     | 0.8456
Q     | f048h  | 3.2280     | 0.2340     | 0.8404
Q     | f054h  | 3.3384     | 0.3015     | 0.8299
Q     | f060h  | 3.4224     | 0.3890     | 0.8231
Q     | f066h  | 3.4760     | 0.4110     | 0.8185
Q     | f072h  | 3.5042     | 0.4769     | 0.8167
Q     | f078h  | 3.5720     | 0.6131     | 0.8091
Q     | f084h  | 3.6169     | 0.6323     | 0.8078
Q     | f090h  | 3.6962     | 0.6848     | 0.8025
Q     | f096h  | 3.7122     | 0.7718     | 0.8033
Q     | f102h  | 3.8096     | 0.9217     | 0.7960
Q     | f108h  | 3.8736     | 0.9588     | 0.7922
Q     | f114h  | 3.9181     | 0.9355     | 0.7899
Q     | f120h  | 4.0186     | 0.9709     | 0.7817
--------------------------------------------------
2026-08-28 14:53:53,882 [INFO] Saved metric curves to: verification_results/verification_metrics_curves.png





8/27/2026, epoch 3 results:

(anemoi) [Wei.Huang@ufe02 src]$ runverif.sh
+ python utils/generate_verification_metrics_and_plots.py --fcst_dir output/20260201/06 --truth_dir /scratch5/purged/Wei.Huang/src/starviewerweathermodel/data/icosahedral-truth --init_time 2026020106 --level_idx 10 --out_dir verification_results --show
===================================================================================================================
 GENERATING METRICS SUMMARY (Init: 2026-02-01 06Z | Level Index: 10)
===================================================================================================================
VAR   | LEAD   | RMSE       | BIAS       | ACC
--------------------------------------------------
T     | f006h  | 5.0183     | -0.6722    | 0.9403
T     | f012h  | 5.5930     | -1.2719    | 0.9298
T     | f018h  | 5.9992     | -1.8974    | 0.9242
T     | f024h  | 6.5721     | -2.6661    | 0.9192
T     | f030h  | 7.5357     | -3.3638    | 0.9022
T     | f036h  | 8.1482     | -3.8103    | 0.8942
T     | f042h  | 8.6788     | -4.1320    | 0.8883
T     | f048h  | 9.3853     | -4.7747    | 0.8827
T     | f054h  | 10.3020    | -5.5057    | 0.8682
T     | f060h  | 10.8439    | -5.9949    | 0.8661
T     | f066h  | 11.3600    | -6.3286    | 0.8638
T     | f072h  | 12.0569    | -7.0495    | 0.8632
T     | f078h  | 12.8829    | -7.8401    | 0.8538
T     | f084h  | 13.4530    | -8.2515    | 0.8484
T     | f090h  | 13.9463    | -8.5233    | 0.8456
T     | f096h  | 14.5880    | -9.1685    | 0.8469
T     | f102h  | 15.3522    | -9.8983    | 0.8381
T     | f108h  | 15.9056    | -10.2906   | 0.8314
T     | f114h  | 16.3677    | -10.4766   | 0.8262
T     | f120h  | 16.9165    | -10.9874   | 0.8277
--------------------------------------------------
P     | f006h  | 19.6151    | -5.8657    | 0.5403
P     | f012h  | 18.3233    | -6.7491    | 0.5537
P     | f018h  | 19.5315    | -7.9277    | 0.5168
P     | f024h  | 21.5472    | -9.3238    | 0.4698
P     | f030h  | 23.1530    | -10.8884   | 0.4460
P     | f036h  | 24.7099    | -12.5197   | 0.4177
P     | f042h  | 26.1727    | -14.0622   | 0.4002
P     | f048h  | 27.7519    | -15.4446   | 0.3727
P     | f054h  | 29.0660    | -16.8010   | 0.3579
P     | f060h  | 30.4204    | -18.0615   | 0.3283
P     | f066h  | 31.4459    | -19.1398   | 0.3192
P     | f072h  | 32.5208    | -20.0963   | 0.3034
P     | f078h  | 33.4291    | -21.1186   | 0.3013
P     | f084h  | 34.5619    | -22.1706   | 0.2768
P     | f090h  | 35.3418    | -23.1145   | 0.2818
P     | f096h  | 36.2343    | -23.9979   | 0.2774
P     | f102h  | 37.1106    | -25.0442   | 0.2853
P     | f108h  | 38.2380    | -26.1860   | 0.2752
P     | f114h  | 39.0937    | -27.2751   | 0.2924
P     | f120h  | 40.0568    | -28.3302   | 0.2991
--------------------------------------------------
U     | f006h  | 3.8180     | -0.1350    | 0.8981
U     | f012h  | 5.0209     | -0.2424    | 0.8190
U     | f018h  | 5.6105     | -0.3163    | 0.7656
U     | f024h  | 6.0949     | -0.3399    | 0.7158
U     | f030h  | 6.5258     | -0.5083    | 0.6783
U     | f036h  | 6.7410     | -0.6447    | 0.6611
U     | f042h  | 6.7813     | -0.7575    | 0.6532
U     | f048h  | 6.8569     | -0.9345    | 0.6415
U     | f054h  | 6.9716     | -1.1032    | 0.6192
U     | f060h  | 7.0360     | -1.2954    | 0.6095
U     | f066h  | 7.0067     | -1.3698    | 0.6080
U     | f072h  | 7.1297     | -1.4421    | 0.5940
U     | f078h  | 7.1380     | -1.5935    | 0.5803
U     | f084h  | 7.2347     | -1.6552    | 0.5715
U     | f090h  | 7.2878     | -1.6896    | 0.5598
U     | f096h  | 7.3206     | -1.6681    | 0.5417
U     | f102h  | 7.3735     | -1.7767    | 0.5244
U     | f108h  | 7.5085     | -1.7548    | 0.5096
U     | f114h  | 7.6464     | -1.7152    | 0.4904
U     | f120h  | 7.7295     | -1.7270    | 0.4847
--------------------------------------------------
V     | f006h  | 4.1654     | 0.0932     | 0.7851
V     | f012h  | 5.3675     | -0.0224    | 0.6130
V     | f018h  | 6.0394     | -0.0614    | 0.5033
V     | f024h  | 6.3088     | -0.1152    | 0.4193
V     | f030h  | 6.5832     | -0.1082    | 0.3269
V     | f036h  | 6.7180     | -0.2197    | 0.2806
V     | f042h  | 6.8574     | -0.2696    | 0.2771
V     | f048h  | 6.8144     | -0.2444    | 0.2625
V     | f054h  | 6.8337     | -0.1621    | 0.2124
V     | f060h  | 6.7249     | -0.2092    | 0.1985
V     | f066h  | 6.7011     | -0.1496    | 0.2085
V     | f072h  | 6.4642     | -0.0724    | 0.2031
V     | f078h  | 6.3439     | -0.0408    | 0.1648
V     | f084h  | 6.2521     | -0.0019    | 0.1762
V     | f090h  | 6.1828     | 0.0706     | 0.2001
V     | f096h  | 6.0972     | 0.1207     | 0.2061
V     | f102h  | 6.1286     | 0.2008     | 0.1655
V     | f108h  | 6.0842     | 0.1813     | 0.1786
V     | f114h  | 6.2095     | 0.1869     | 0.1890
V     | f120h  | 6.1844     | 0.2558     | 0.1942
--------------------------------------------------
W     | f006h  | 0.3320     | -0.0019    | 0.3179
W     | f012h  | 0.3568     | -0.0050    | 0.2727
W     | f018h  | 0.3404     | -0.0103    | 0.2505
W     | f024h  | 0.3239     | -0.0036    | 0.2120
W     | f030h  | 0.3517     | -0.0098    | 0.1902
W     | f036h  | 0.3714     | -0.0130    | 0.1802
W     | f042h  | 0.3510     | -0.0158    | 0.1745
W     | f048h  | 0.3370     | -0.0058    | 0.1463
W     | f054h  | 0.3496     | -0.0077    | 0.1403
W     | f060h  | 0.3709     | -0.0110    | 0.1455
W     | f066h  | 0.3573     | -0.0113    | 0.1175
W     | f072h  | 0.3425     | -0.0027    | 0.0989
W     | f078h  | 0.3562     | -0.0093    | 0.1123
W     | f084h  | 0.3792     | -0.0106    | 0.1188
W     | f090h  | 0.3586     | -0.0150    | 0.1072
W     | f096h  | 0.3517     | -0.0036    | 0.1001
W     | f102h  | 0.3762     | -0.0079    | 0.1084
W     | f108h  | 0.3848     | -0.0070    | 0.1191
W     | f114h  | 0.3705     | -0.0091    | 0.1175
W     | f120h  | 0.3594     | 0.0018     | 0.0917
--------------------------------------------------
Q     | f006h  | 2.2649     | -0.0261    | 0.9238
Q     | f012h  | 2.6283     | -0.0512    | 0.8975
Q     | f018h  | 2.7453     | -0.1220    | 0.8882
Q     | f024h  | 2.8791     | -0.1992    | 0.8773
Q     | f030h  | 3.0504     | -0.2007    | 0.8604
Q     | f036h  | 3.2113     | -0.2224    | 0.8468
Q     | f042h  | 3.2541     | -0.2527    | 0.8419
Q     | f048h  | 3.3270     | -0.3208    | 0.8353
Q     | f054h  | 3.4467     | -0.3412    | 0.8242
Q     | f060h  | 3.5449     | -0.3476    | 0.8158
Q     | f066h  | 3.6331     | -0.4152    | 0.8088
Q     | f072h  | 3.6991     | -0.4418    | 0.8034
Q     | f078h  | 3.7732     | -0.3945    | 0.7938
Q     | f084h  | 3.8459     | -0.4655    | 0.7906
Q     | f090h  | 3.9488     | -0.4996    | 0.7829
Q     | f096h  | 3.9894     | -0.4974    | 0.7802
Q     | f102h  | 4.0715     | -0.4275    | 0.7711
Q     | f108h  | 4.1613     | -0.4664    | 0.7648
Q     | f114h  | 4.2495     | -0.5601    | 0.7600
Q     | f120h  | 4.3629     | -0.5897    | 0.7504
--------------------------------------------------
2026-08-27 18:30:47,270 [INFO] Saved metric curves to: verification_results/verification_metrics_curves.png
2026-08-27 18:32:10,816 [INFO] Saved spatial error heatmaps to: verification_results/spatial_error_heatmaps_panel.png

